participant_id,test_id,block_number,ball_number,timestamp,ball_position_x,ball_position_y,ball_position_z,shortest_path_normalized_x,shortest_path_normalized_y,shortest_path_normalized_z,look_direction_normalized_x,look_direction_normalized_y,look_direction_normalized_z,result_location_x,result_location_y,result_location_z,target_type,distance_to_closest_target,smi_camera_raycast_x,smi_camera_raycast_y,smi_camera_raycast_z,smi_binocular_por_x,smi_binocular_por_y,smi_binocular_por_is_valid,smi_ipd,smi_ipd_is_valid,smi_left_por_x,smi_left_por_y,smi_left_por_is_valid,smi_right_por_x,smi_right_por_y,smi_right_por_is_valid,smi_left_basepoint_x,smi_left_basepoint_y,smi_left_basepoint_z,smi_left_basepoint_is_valid,smi_right_basepoint_x,smi_right_basepoint_y,smi_right_basepoint_z,smi_right_basepoint_is_valid,smi_left_gazedirection_x,smi_left_gazedirection_y,smi_left_gazedirection_z,smi_left_gazedirection_is_valid,smi_right_gazedirection_x,smi_right_gazedirection_y,smi_right_gazedirection_z,smi_right_gazedirection_is_valid,tobii_gazeray_isvalid,tobii_gazeray_origin_x,tobii_gazeray_origin_y,tobii_gazeray_origin_z,tobii_gazeray_direction_x,tobii_gazeray_direction_y,tobii_gazeray_direction_z,tobii_left_pupil_isvalid,tobii_left_pupildiameter,tobii_left_ray_isvalid,tobii_left_ray_origin_x,tobii_left_ray_origin_y,tobii_left_ray_origin_z,tobii_left_ray_direction_x,tobii_left_ray_direction_y,tobii_left_ray_direction_z,tobii_right_pupil_isvalid,tobii_right_pupildiameter,tobii_right_ray_isvalid,tobii_right_ray_origin_x,tobii_right_ray_origin_y,tobii_right_ray_origin_z,tobii_right_ray_direction_x,tobii_right_ray_direction_y,tobii_right_ray_direction_z,participant_head_position_x,participant_head_position_y,participant_head_position_z,participant_head_rotation_x,participant_head_rotation_y,participant_head_rotation_z,racket_knob_position_x,racket_knob_position_y,racket_knob_position_z,racket_knob_rotation_x,racket_knob_rotation_y,racket_knob_rotation_z
1,2,2,1,6.3806E+13,-1.627846,2.76568,4.207895,-0.109767,0.063032,0.991957,-0.068673,-0.147838,0.986625,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1708458,1.755046,-11.75661,-0.06982633,0.08425252,0.9939817,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1390553,1.751061,-11.75943,8.501659,356.0184,359.6649,0.3233078,1.065286,-11.60147,11.53121,53.44158,349.8349
1,2,2,1,6.3806E+13,0,0,0,0,0,0,0,0,0,-2.881121,0.03343761,12.05697,Baseline_One_Center,3.108663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,2,6.3806E+13,0.005425,2.054849,11.72073,-0.004789,0.012826,0.999906,-0.037327,-0.139212,0.989559,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.127413,1.757742,-11.77027,-0.1492008,-0.03069414,0.9883241,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1179366,1.753523,-11.77038,8.002254,357.8398,0.5189033,0.2919554,1.107862,-11.60688,4.155031,41.91783,341.5485
1,2,1,2,6.3806E+13,0.010851,2.108488,11.55145,-0.004578,0.015216,0.999874,-0.037018,-0.138957,0.989606,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.124146,1.757624,-11.77063,-0.1482813,-0.02973912,0.9884865,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.117638,1.753576,-11.77051,7.987506,357.8578,0.5280335,0.2919611,1.108069,-11.60751,4.279732,41.7835,341.654
1,2,1,2,6.3806E+13,0.016276,2.160915,11.38217,-0.004367,0.017589,0.999836,-0.036153,-0.138603,0.989688,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1204503,1.757504,-11.77114,-0.148752,-0.03135267,0.9883652,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1173906,1.753602,-11.77072,7.967013,357.9079,0.5468641,0.2918187,1.10807,-11.60806,4.355589,41.67024,341.7523
1,2,1,2,6.3806E+13,0.021702,2.212131,11.2129,-0.004154,0.019945,0.999792,-0.035374,-0.138139,0.989781,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1129163,1.757233,-11.77181,-0.149451,-0.03305205,0.9882131,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1172079,1.753617,-11.77096,7.940146,357.9532,0.5658861,0.2916525,1.107984,-11.60865,4.317904,41.61582,341.8611
1,2,1,2,6.3806E+13,0.027127,2.262136,11.04362,-0.00393,0.022284,0.999744,-0.034329,-0.137591,0.989894,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1048155,1.756947,-11.77245,-0.1503463,-0.03537707,0.9879974,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1168028,1.753598,-11.77102,7.908474,358.0138,0.581535,0.2913106,1.10751,-11.60886,4.239503,41.61435,341.698
1,2,1,2,6.3806E+13,0.032553,2.31093,10.87435,-0.003703,0.024601,0.999691,-0.033166,-0.136913,0.990028,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.09996705,1.756795,-11.77294,-0.1509033,-0.03640995,0.9878617,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1164328,1.753658,-11.77114,7.869273,358.0813,0.5847687,0.291273,1.107434,-11.60927,4.176475,41.56395,341.5506
1,2,1,2,6.3806E+13,0.037978,2.358513,10.70507,-0.003479,0.026899,0.999632,-0.031872,-0.136126,0.990179,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.0984087,1.756721,-11.7733,-0.1494815,-0.0370402,0.9880692,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1161989,1.753708,-11.77133,7.823705,358.1564,0.5973269,0.2913188,1.10738,-11.60971,4.209814,41.52452,341.4247
1,2,1,2,6.3806E+13,0.043404,2.404885,10.5358,-0.003251,0.029174,0.999569,-0.030837,-0.135526,0.990294,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.09950031,1.756735,-11.7733,-0.1496214,-0.03768354,0.9880093,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1159488,1.753822,-11.77148,7.789056,358.2164,0.6020669,0.2913512,1.107595,-11.61014,4.287578,41.51995,341.3689
